"San Diego,",1
"Phil. Mag,",1
"The Histochemical Journal,",1
see,1
"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1
to,1
,1
"San Diego: Academic,",1
"Res. Rep. CERIA, U. Paris,",1
Proceedings of the 25 thEuropean Transport,1
"Hargittai,",1
"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1
Proceedings of the Very Large Data Bases Conference (VLDB; ,1
"Seattle, Washington DC,",1
"Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1
"PC Magazine (10),",1
"New York,",1
"Artificial Intelligence Review,",1
"New Directions for Higher Education,",1
"Economic Geography,",1
"SIGMOD Record,",1
"Proc. 28th Allerton Conf. on Communication, Control, and  &hellip;,",1
"Lancet I,",1
"Computerworld,",1
"Proceedings of the IEEE,",1
"Electronic Markets,",1
"Information and Software Technology,",1
"JOURNAL OF EMERGENCY MEDICINE,",1
"Technical University of Berlin,",1
"&hellip;  for Comparison of Supplemental Technology Demonstration  &hellip;,",1
"Conference on Management of Data, Seattle, WA, June,",1
"MD,",1
"Proceedings of the 23rd Annual Meeting of the American Wood- &hellip;,",1
"Proceedings of SIGMODâ??86. Washington. May,",1
Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,1
"Proceedings of the Institution of Mechanical Engineers D,  &hellip;,",1
"MIT Laboratory for Computer Science (October 1986), unpublished ",1
"Geography,",1
"Cochrane Database Syst Rev,",1
"Technical Report, Statistics Department, Stanford University, ",1
Proc.,1
"DISCUSSIONES MATHEMATICAE GRAPH THEORY,",1
"California at Santa Barbara,",1
"New Directions for Teaching and Learning,",1
ACM,1
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1
"COMPUTERWORLD.,",1
"Lancet, i,",1
"Unpublished manuscript,",1
"D. Gresh, E. Kelton, Proceedings, IEEE Visualization,",1
Proc. Int. Conf. Automation,1
"Proc. SPIE,",1
"The Academy of Management Review,",1
"Learning in Groups, New Directions for Teaching and",1
"Proceedings of SZGCSE â??97,",1
"VLDB,",1
"Rechner-u. SensorgestÃ¼tzte Chirurgie-Procs, GI,",1
"Proceedings of the 23rd Annual Boston University Conference  &hellip;,",1
"Hepatitis B vaccine: Demonstration of efficacy in a  &hellip;,",1
"Proc. IEEE/ACM Design Automation Conf,",1
"Proc 7th Int&#39;l Conf VLDB,",1
"IEEE Transactions on Knowledge and Data Engineering,",1
"Proc Of the 22nd VLDB Conf,",1
"Lancet i,",1
"Proceedings of the 1997ACM-SIGMOD Conference,",1
"Technical Report CS-2000-08, Computer Science Department, Duke ",1
